date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:15	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20May%202015%2015:49:15%20GMT	http://jdangerous.herokuapp.com/robots.txt		(from )
08:49:15	8490/8490	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20May%202015%2015:49:15%20GMT	http://jdangerous.herokuapp.com/	/www/getdangerous/jdangerous.herokuapp.com/index.html	(from )
08:49:16	2592/2592	---M--	200	added ('OK')	image/png	etag:%22a20-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/badge_iOS-8cb18475442b562156ebb84c3fe84d6d.png	/www/getdangerous/jdangerous.herokuapp.com/images/badge_iOS-8cb18475442b562156ebb84c3fe84d6d.png	(from http://jdangerous.herokuapp.com/)
08:49:17	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/badge_android-acf792577e6dbf39c49b66cd7c462ef6.png	/www/getdangerous/jdangerous.herokuapp.com/images/badge_android-acf792577e6dbf39c49b66cd7c462ef6.png	(from http://jdangerous.herokuapp.com/)
08:49:17	5102/5102	---M--	200	added ('OK')	image/png	etag:%2213ee-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/badge_iOS_active-52a7d5f93bd8d8356fe6a3dad086852f@2x.png	/www/getdangerous/jdangerous.herokuapp.com/images/badge_iOS_active-52a7d5f93bd8d8356fe6a3dad086852f@2x.png	(from http://jdangerous.herokuapp.com/)
08:49:18	5121/5121	---M--	200	added ('OK')	image/png	etag:%221401-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/badge_android_active-5a83d0db18aed591f5621dcc70ab1c49@2x.png	/www/getdangerous/jdangerous.herokuapp.com/images/badge_android_active-5a83d0db18aed591f5621dcc70ab1c49@2x.png	(from http://jdangerous.herokuapp.com/)
08:49:20	13287/13287	---M--	200	added ('OK')	image/png	etag:%2233e7-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/JDMouth.png	/www/getdangerous/jdangerous.herokuapp.com/images/JDMouth.png	(from http://jdangerous.herokuapp.com/)
08:49:32	108788/108788	---M--	200	added ('OK')	image/jpeg	etag:%221a8f4-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/bg.jpg	/www/getdangerous/jdangerous.herokuapp.com/images/bg.jpg	(from http://jdangerous.herokuapp.com/)
08:49:40	141664/141664	---M--	200	added ('OK')	image/png	etag:%2222960-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/dangerHair.png	/www/getdangerous/jdangerous.herokuapp.com/images/dangerHair.png	(from http://jdangerous.herokuapp.com/)
08:50:24	428668/428668	---M--	200	added ('OK')	image/png	etag:%2268a7c-4ff86bdb07000%22	http://jdangerous.herokuapp.com/images/hand.png	/www/getdangerous/jdangerous.herokuapp.com/images/hand.png	(from http://jdangerous.herokuapp.com/)
08:50:45	449176/449176	---M--	200	added ('OK')	audio/x-wav	etag:%226da98-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh1.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh1.wav	(from http://jdangerous.herokuapp.com/)
08:51:58	976944/976944	---M--	200	added ('OK')	audio/x-wav	etag:%22ee830-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh0.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh0.wav	(from http://jdangerous.herokuapp.com/)
08:53:01	974880/974880	---M--	200	added ('OK')	audio/x-wav	etag:%22ee020-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh3.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh3.wav	(from http://jdangerous.herokuapp.com/)
08:53:10	446512/446512	---M--	200	added ('OK')	audio/x-wav	etag:%226d030-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh5.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh5.wav	(from http://jdangerous.herokuapp.com/)
08:53:13	1321700/1321700	---M--	200	added ('OK')	audio/x-wav	etag:%22142ae4-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh2.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh2.wav	(from http://jdangerous.herokuapp.com/)
08:53:53	268340/268340	---M--	200	added ('OK')	audio/x-wav	etag:%2241834-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh7.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh7.wav	(from http://jdangerous.herokuapp.com/)
08:54:18	522292/522292	---M--	200	added ('OK')	audio/x-wav	etag:%227f834-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh6.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh6.wav	(from http://jdangerous.herokuapp.com/)
08:54:52	872636/872636	---M--	200	added ('OK')	audio/x-wav	etag:%22d50bc-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh8.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh8.wav	(from http://jdangerous.herokuapp.com/)
08:55:02	2033952/2033952	---M--	200	added ('OK')	audio/x-wav	etag:%221f0920-4ff86bdb07000%22	http://jdangerous.herokuapp.com/sounds/DangerLaugh4.wav	/www/getdangerous/jdangerous.herokuapp.com/sounds/DangerLaugh4.wav	(from http://jdangerous.herokuapp.com/)
